Movement,start_date,end_date,duration
Impressionism,1867,1886,19
Post-Impressionism,1886,1905,19
Fauvism,1905,1908,3
Expressionism,1905,1920,15
Cubism,1907,1914,7
Futurism,1909,1944,35
Dada,1916,1922,6
Surrealism,1924,1939,15
Bauhaus,1919,1933,14
De Stijl,1917,1931,14
Regionalism,1930,1940,10
Abstract Expressionism,1940,1950,10
Color Field Painting,1940,1950,10
Tachisme,1940,1960,20
Pop Art,1954,1964,10
Minimalism,1962,1975,13
Op Art,1964,1970,6
Conceptual Art,1960,1970,10
Neo-Expressionism,1981,1986,5
